ID,PRODUTO,CATEGORIA PRODUTO,QTDE,VALOR,DESCONTO,TOTAL,LOJA,VENDEDOR,CLIENTE,SEXO,ESTADO CIVIL,DATA,PERIODO,MES
5921,W,YG,5,205,0.04,984.0,IPTL,NJDKU,DLXBGR IUAQXPKG,-,d,2019-11-20,2019-11,11
5922,T,RZ,5,181,0.04,868.8,GSJM,WZIJL,UCBOTD IQSMFTGX,-,d,2019-02-06,2019-02,2
5923,P,JZ,1,258,0.02,252.84,CPWQ,JHVXM,ILDAEY CWQCJTIB,m,-,2019-01-17,2019-01,1
5924,X,AE,8,294,0.01,2328.48,SBUD,NZYDH,HZTPOT FTNZANBS,-,c,2019-09-09,2019-09,9
5925,E,CM,2,164,0.02,321.44,TSTY,KWCEP,VCOPHR EKPXWLLY,-,-,2019-02-16,2019-02,2
5926,M,SC,7,202,0.04,1357.44,JBHP,QWVSY,SVXRRE NRRTQCHM,f,d,2019-11-16,2019-11,11
5927,Y,TV,7,252,0.03,1711.08,ARUD,PABKF,DSUVBQ MBPSWMRJ,-,s,2019-06-07,2019-06,6
5928,D,ZG,2,204,0.02,399.84,DMZF,NBJVA,DMRLOO LOHOAAIY,m,c,2019-04-07,2019-04,4
5929,J,XI,1,264,0.04,253.44,OZUF,QPTQI,STRNOT KRBASMJN,a,-,2019-10-05,2019-10,10
5930,A,CL,7,295,0.04,1982.4,BCGP,CVHOX,PBBMFJ WUHXAFMM,f,c,2019-04-03,2019-04,4
5931,F,NB,5,281,0.01,1390.95,BQCS,MUYXK,IOZIKJ RTAKTCZX,-,-,2019-09-14,2019-09,9
5932,A,VA,9,210,0.01,1871.1,USYU,MCTCJ,WFWNWI FVUIRPVW,f,d,2019-05-27,2019-05,5
5933,K,VK,1,248,0.04,238.08,JXPM,KHYCO,FWKBVY VJCCNEHB,m,d,2019-02-13,2019-02,2
5934,Q,DD,9,199,0.04,1719.36,KKXD,RMOJP,ICVHEF LXPUMDRH,m,c,2019-07-31,2019-07,7
5935,H,DJ,9,214,0.02,1887.48,WROB,ZJIUT,WFEAVB BJEDHKPV,a,s,2019-06-16,2019-06,6
5936,Y,AX,2,191,0.03,370.54,VMKD,TUVYD,SNJKOF JSEFHPXD,f,s,2019-11-16,2019-11,11
5937,X,LF,3,267,0.01,792.99,VXBM,OGKCF,WYMGNT KCRWWZFQ,m,d,2019-03-03,2019-03,3
5938,I,LI,6,157,0.04,904.32,IDNP,GILCS,PHEDSI QQAYAOHM,m,s,2019-12-05,2019-12,12
5939,T,IN,1,203,0.04,194.88,NRTS,GJLEJ,UYZZDN VDSOJWCG,m,c,2019-08-07,2019-08,8
5940,F,BS,9,164,0.04,1416.96,GZQD,HNWTE,FKYLSZ UHOYOCRY,a,-,2019-03-14,2019-03,3
5941,W,IC,5,163,0.01,806.85,ZLCV,JSNXG,OKHROZ MTUROSIR,f,d,2019-02-02,2019-02,2
5942,P,AA,8,217,0.03,1683.92,IMKJ,DXZEG,JWSYUQ DZPMPMCE,-,s,2019-02-01,2019-02,2
5943,C,XE,8,204,0.03,1583.04,TXXV,MTFZA,WTVPQC GTNCEWJK,-,-,2019-05-27,2019-05,5
5944,Y,JK,4,232,0.04,890.88,PRBQ,MEHYC,XTZZRC GSZDJBDJ,m,s,2019-03-08,2019-03,3
5945,F,DX,7,201,0.03,1364.79,JMUB,UCWNT,LDATXB QVRDOVDB,-,c,2019-04-24,2019-04,4
5946,F,GW,6,225,0.0,1350.0,BUCV,YTAVG,LIWLIS JEBBYXFM,-,s,2019-06-29,2019-06,6
5947,V,JC,9,174,0.01,1550.34,CWTA,AAISU,VPJDHF TANBVAER,-,s,2019-02-17,2019-02,2
5948,I,QD,6,281,0.03,1635.42,PFJQ,CJVTZ,ZYJPKK QUKJTIYQ,a,s,2019-06-24,2019-06,6
5949,E,EA,3,195,0.02,573.3,UUDV,BJXFW,QUINLW XHOUIXNG,a,s,2019-03-06,2019-03,3
5950,N,FM,6,235,0.03,1367.7,DZKG,ISQUX,ULDABR TXWNRPBT,a,c,2019-07-23,2019-07,7
5951,S,IT,8,197,0.0,1576.0,BVLB,PMGLX,YJIQBR GMXTNLBT,a,c,2019-11-27,2019-11,11
5952,U,OO,4,279,0.0,1116.0,UHUD,YIWJN,ZKJNXZ SLTEJLTE,-,s,2019-04-17,2019-04,4
5953,A,RE,9,284,0.02,2504.88,QSUY,MGVTF,SNVDKJ NYPBSHRN,m,s,2019-02-05,2019-02,2
5954,W,HS,8,278,0.01,2201.76,ITBU,KIBTP,BXELVO EUFNKIDQ,m,c,2019-01-08,2019-01,1
5955,P,AQ,4,206,0.02,807.52,KWRZ,NQTVN,UNIXHA NFRXFCIL,m,d,2019-04-26,2019-04,4
5956,E,HW,8,239,0.03,1854.64,EYOG,LGZRZ,GJTUVS YGWCDSHG,a,-,2019-10-25,2019-10,10
5957,L,ZC,9,264,0.01,2352.24,YHWI,TQLOR,XIJSNQ EQQDUEZT,m,c,2019-10-08,2019-10,10
5958,P,KB,6,253,0.02,1487.64,AURO,LPVNS,KIIIQE RXFRJXDY,-,-,2019-05-24,2019-05,5
5959,K,LS,7,245,0.02,1680.7,WYNX,PUKIA,GEBCCQ KHAKUZUD,a,s,2019-01-13,2019-01,1
5960,P,DW,7,175,0.0,1225.0,MACK,VDABE,HEARSN GRBXTCWO,-,c,2019-07-11,2019-07,7
5961,B,KP,6,179,0.04,1031.04,XAYB,GDKLH,QZKUIW VGVOPVNF,-,s,2019-04-04,2019-04,4
5962,Y,GL,8,295,0.02,2312.8,AHOU,GOSIF,HJRZFQ NZHPGNKK,a,c,2019-10-23,2019-10,10
5963,Q,WK,8,240,0.03,1862.4,LYFG,BSDQR,PFZHKE CMOPKSUY,f,s,2019-05-07,2019-05,5
5964,L,IY,7,153,0.01,1060.29,GPTE,LCQNL,BCPFIA ETQMUBSF,-,-,2019-12-18,2019-12,12
5965,D,XL,4,265,0.04,1017.6,XVQO,VHOSX,ASILTD QFLBRJLM,m,-,2019-01-26,2019-01,1
5966,W,LT,3,202,0.04,581.76,LKEA,HRQIK,OCIWJY NNFJQCHE,m,s,2019-04-22,2019-04,4
5967,V,ZK,2,186,0.02,364.56,LANB,ABJCA,GYXHPT CDEZBPJP,a,s,2019-03-18,2019-03,3
5968,W,MD,3,275,0.01,816.75,IAHL,EMGQP,ZPKZQS ZGGCILOO,-,c,2019-09-28,2019-09,9
5969,F,DS,6,237,0.0,1422.0,HHTK,AALNZ,KHVEOS NEHLDAFV,f,c,2019-12-17,2019-12,12
5970,D,GZ,7,247,0.03,1677.13,ETPD,GQQKQ,KQVKYI EOTTPPXP,m,c,2019-08-26,2019-08,8
5971,F,VY,1,271,0.04,260.16,KJET,YWCYD,XECPAM CMJWULKQ,m,c,2019-12-07,2019-12,12
5972,D,PO,8,164,0.02,1285.76,KIUU,JNXTN,DCNLUE NWMYOAST,a,s,2019-04-28,2019-04,4
5973,Z,AE,7,238,0.0,1666.0,CUTK,TPVFN,RYCPUM ZPIHLMGL,f,d,2019-10-09,2019-10,10
5974,O,ZC,3,265,0.02,779.1,MWTY,DYBLX,JQGMCZ AFHQMLDW,a,s,2019-02-08,2019-02,2
5975,G,IU,1,280,0.04,268.8,BIYJ,XBZFR,JQRRMP PRWULMIV,m,d,2019-03-17,2019-03,3
5976,G,UQ,9,208,0.02,1834.56,LCPM,HYXVJ,VMDMWQ FPSICVDR,m,-,2019-09-16,2019-09,9
5977,A,OW,4,247,0.04,948.48,SCKU,UQRLY,QEXASF HAZECUTM,f,c,2019-06-10,2019-06,6
5978,L,ZY,9,216,0.04,1866.24,FFJH,KJYHU,OBUTYX SHSSBCBK,-,d,2019-01-25,2019-01,1
5979,J,HA,6,151,0.0,906.0,PMTY,PJJBM,WUIGXQ SXYLUFLL,-,-,2019-10-29,2019-10,10
5980,W,QZ,6,230,0.04,1324.8,YFMJ,ATAYA,TSWUKD NDSVHKMK,-,d,2019-02-22,2019-02,2
5981,G,KM,6,298,0.02,1752.24,YOHX,WLPHS,RHHVIY GPFUXPST,-,d,2019-02-17,2019-02,2
5982,L,JU,4,224,0.01,887.04,PVMZ,EZAFG,CPYHYQ EZVPBMNU,a,s,2019-02-14,2019-02,2
5983,N,CG,8,273,0.01,2162.16,RXYI,QERPU,OBDGTG GATVOZNE,f,s,2019-10-27,2019-10,10
5984,W,UA,7,210,0.01,1455.3,JLZW,JJTIV,PBQFBB KRCCNMQK,-,d,2019-05-17,2019-05,5
5985,H,DA,5,236,0.02,1156.4,SITP,TVYVM,CELSIF QKOGKTVT,a,s,2019-08-29,2019-08,8
5986,P,TJ,8,151,0.0,1208.0,SHAG,DZZKD,AMCFDE OBWYEBNA,f,c,2019-03-26,2019-03,3
5987,Z,FJ,4,271,0.03,1051.48,HJLJ,AKFRD,SMLAIX KZRDJGHP,m,s,2019-12-02,2019-12,12
5988,T,YI,3,216,0.03,628.56,XIMH,ZGUSL,ZVSXQT PJVTWKZU,m,s,2019-11-16,2019-11,11
5989,B,PB,8,294,0.03,2281.44,EVIM,BRGCA,TCUGTJ DXKOHTXV,m,c,2019-09-04,2019-09,9
5990,D,FV,5,257,0.04,1233.6,HIAD,EWYIY,OWZCWZ MNGNHOQG,m,s,2019-03-21,2019-03,3
5991,A,FN,6,156,0.01,926.64,VDQI,NXTXR,YOJTIU HVPQCPQJ,m,d,2019-12-28,2019-12,12
5992,S,QT,8,282,0.03,2188.32,WVUT,DDUVP,KZEZRP IKHKVKJR,f,s,2019-10-24,2019-10,10
5993,H,BH,7,204,0.01,1413.72,CXHD,OGACK,AVRPXF QBNNXMRZ,m,s,2019-10-04,2019-10,10
5994,E,QN,1,162,0.0,162.0,GDGS,AYDFN,PJSZPT WYNSSVSG,-,c,2019-05-28,2019-05,5
5995,X,KC,6,154,0.0,924.0,YISV,NDMIB,ZZYVYX SGCIDSNE,a,s,2019-03-19,2019-03,3
5996,C,PP,1,186,0.04,178.56,LDCL,ZWPHZ,PEUBEB EBBUKZWK,f,s,2019-08-14,2019-08,8
5997,P,EO,3,191,0.03,555.81,RISQ,DLKMB,RNIZPF SVSZXNNV,a,s,2019-03-28,2019-03,3
5998,C,QN,4,226,0.01,894.96,AEJH,CCUVT,PMXFBI VUQVTITV,-,d,2019-11-12,2019-11,11
5999,G,ZB,9,274,0.0,2466.0,UVDZ,NSCEB,LHHWOD GMLBXYOT,f,-,2019-01-02,2019-01,1
6000,V,XM,5,218,0.02,1068.2,OQMT,HYLMF,EPBNAS FBQTDBWO,-,d,2019-12-20,2019-12,12
6001,C,CN,2,209,0.03,405.46,YNUX,GYOIG,ELUMBV YERZSKOT,m,c,2019-08-09,2019-08,8
6002,A,KZ,4,177,0.02,693.84,UFNT,WVROI,TOYGUF PMAJAYDK,f,-,2019-04-12,2019-04,4
6003,V,MF,7,240,0.01,1663.2,PPQY,DXBYX,WOQXCM AAIBANGT,m,d,2019-10-25,2019-10,10
6004,B,BZ,3,154,0.04,443.52,AFYT,FLCGK,GQAEHT NPRFLARX,a,d,2019-06-30,2019-06,6
6005,M,LE,9,184,0.03,1606.32,ORQE,FJDXB,WIRALP IRUDHIAB,-,s,2019-06-06,2019-06,6
6006,R,YL,1,189,0.0,189.0,JLPZ,NPFCD,PWDUES XENOXQOB,m,-,2019-11-05,2019-11,11
6007,M,VN,3,182,0.03,529.62,TTWA,FKDFN,ITCLSJ TTADPMVV,-,s,2019-07-30,2019-07,7
6008,V,UA,6,291,0.02,1711.08,ODSK,GVBET,BYKQVX VSENXAOC,f,c,2019-12-27,2019-12,12
6009,H,UK,2,247,0.0,494.0,JETW,CFSXX,XKHRBE VVODRVBP,f,d,2019-02-11,2019-02,2
6010,K,DS,9,283,0.03,2470.59,ERZE,ZDGPQ,JKRBDF ENFHHUNK,a,-,2019-05-02,2019-05,5
6011,X,IO,9,243,0.01,2165.13,VJVD,GXEWI,XWOYFT ABINCOEW,-,s,2019-04-14,2019-04,4
6012,R,MR,1,158,0.02,154.84,EPCX,PUDBC,JKMBNP BZTTWJFK,f,c,2019-06-16,2019-06,6
6013,X,OS,8,187,0.04,1436.16,ZLJL,FXEIN,CGCQZS UROVMIJF,-,d,2019-12-08,2019-12,12
6014,N,SZ,4,217,0.03,841.96,NFFV,NUDWY,NARYQZ ZWGROGDR,-,d,2019-05-28,2019-05,5
6015,E,FM,8,211,0.0,1688.0,AOPG,CZTCS,NUSHYQ PSMGSPGS,a,-,2019-11-25,2019-11,11
6016,N,ZD,8,187,0.04,1436.16,IWBU,DYZDO,IJPSII BEUKDAEZ,-,-,2019-06-02,2019-06,6
6017,L,ZJ,8,291,0.03,2258.16,BZNO,LZXMF,JTLQVL MTUWHMEW,-,c,2019-10-15,2019-10,10
6018,Z,UY,3,277,0.01,822.69,JEXX,TODYV,DTJSLS TLWCVWNI,a,c,2019-04-29,2019-04,4
6019,G,KG,5,257,0.03,1246.45,DJEO,TPOLM,VTRHUN ZGJLZBAB,a,s,2019-09-01,2019-09,9
6020,F,PJ,3,231,0.03,672.21,KFJP,PLCVH,WJSQXC SIKAVOBL,-,-,2019-05-28,2019-05,5
6021,B,MR,6,253,0.03,1472.46,RKPC,ECWEL,EAXBBX ZDWRXMYK,m,c,2019-07-10,2019-07,7
6022,B,ZL,5,229,0.01,1133.55,WWXR,BVXCL,NMGZIK EYDSVXGL,m,-,2019-05-01,2019-05,5
6023,H,CA,4,187,0.01,740.52,LVFX,ESABI,JJHVZJ OWYPMKVY,-,c,2019-12-21,2019-12,12
6024,T,YM,3,266,0.03,774.06,PZPZ,YWARW,JCJZMH LNCMBRAY,m,d,2019-02-16,2019-02,2
6025,Y,HF,5,203,0.04,974.4,FVEL,BMYPY,ATMDTQ HRQJXKUD,a,s,2019-01-19,2019-01,1
6026,T,IQ,4,256,0.03,993.28,HZZO,SVFUW,WGLEUL AWJAHCJP,a,-,2019-03-17,2019-03,3
6027,O,IQ,6,211,0.02,1240.68,WOTI,MXSJA,INWVIH CAFVEPPJ,f,c,2019-02-11,2019-02,2
6028,D,VE,8,266,0.01,2106.72,KIHC,EXRAG,WLPQMK XDCLCFRU,f,d,2019-08-20,2019-08,8
6029,V,WI,6,228,0.03,1326.96,OHVP,JIWTX,QRLSYQ MVAUYVBD,f,s,2019-12-19,2019-12,12
6030,N,PK,4,292,0.01,1156.32,XYBV,YUWVW,THPKWP MBDKSLWC,-,d,2019-12-06,2019-12,12
6031,W,YA,3,282,0.03,820.62,UDWC,LPOOC,VICEFH TQYENXGP,f,c,2019-02-18,2019-02,2
6032,X,HH,5,187,0.02,916.3,DJWD,VULWX,LGPGRA CGNYDGVS,a,s,2019-11-19,2019-11,11
6033,W,DJ,7,203,0.01,1406.79,BIJB,WYETI,LNVOEX MUOVCHFK,f,c,2019-11-24,2019-11,11
6034,C,BS,6,185,0.02,1087.8,EMIG,ZHVRZ,KKUUUL VKXMJZFT,a,c,2019-06-16,2019-06,6
6035,T,UH,2,271,0.0,542.0,OJEG,CXCAQ,SCGNXJ UJHDEODG,m,c,2019-03-20,2019-03,3
6036,T,UM,6,186,0.01,1104.84,BIFZ,SHODS,HMRBYW VXHHCBMF,m,-,2019-10-04,2019-10,10
6037,W,ZW,5,278,0.02,1362.2,PPXA,XXRTR,SQHXIZ RCUMHLSB,a,c,2019-09-07,2019-09,9
6038,Q,XE,2,207,0.01,409.86,VNCL,OKFUO,MOTWBH CHWYMRQT,a,s,2019-03-05,2019-03,3
6039,P,TR,3,263,0.02,773.22,GIAI,CQVQP,QKOPZM PPXBLMPP,a,d,2019-09-15,2019-09,9
6040,G,GT,8,253,0.01,2003.76,BJSA,QEEQS,DMJTYR SLYEZQCN,a,c,2019-03-23,2019-03,3
6041,J,AG,9,186,0.01,1657.26,OGOA,OXWDP,SPBXSS ZSMDVLSA,m,c,2019-01-23,2019-01,1
6042,Z,KC,2,156,0.04,299.52,XDQL,RFNVG,YYENGJ WHFINFJE,a,s,2019-07-31,2019-07,7
6043,P,KW,9,173,0.03,1510.29,AWZM,XQHCV,LAIYPS YDMNOUYS,f,c,2019-02-21,2019-02,2
6044,K,HL,8,185,0.0,1480.0,QOHQ,PQPLZ,MSKDIM XGGZXFXL,m,d,2019-09-15,2019-09,9
6045,X,FP,9,176,0.03,1536.48,UCVA,YLVYC,WXYKYD BMWZSSSA,f,s,2019-04-20,2019-04,4
6046,L,KT,4,168,0.0,672.0,CNBV,JJSGB,ASTHZI VQXUPYKS,-,-,2019-12-24,2019-12,12
6047,E,BF,5,262,0.01,1296.9,ZPXI,GTXRN,ZKWTVO ZRFLUNZH,a,-,2019-04-18,2019-04,4
6048,K,FU,1,168,0.01,166.32,MPWD,IOAJG,YXOUOK UMDFXZEM,m,-,2019-04-29,2019-04,4
6049,F,OD,5,151,0.02,739.9,ROIV,YPEUG,HXFCDM VHNXNNDZ,f,d,2019-04-18,2019-04,4
6050,C,BE,6,173,0.03,1006.86,OVZI,QZRDP,IGKFVE YBRFUJCN,a,-,2019-02-01,2019-02,2
6051,W,HR,9,194,0.0,1746.0,HTXE,EGGJF,VPIFJV XIFNWEZQ,m,-,2019-01-18,2019-01,1
6052,E,MX,3,237,0.01,703.89,QFBA,FXNLW,CYMLYL BYYTQQYM,f,-,2019-04-26,2019-04,4
6053,J,UL,2,152,0.04,291.84,LYYR,SABEP,BTSCQX ECTFUBBE,a,c,2019-05-03,2019-05,5
6054,N,MI,2,154,0.0,308.0,IYWJ,GLJWG,UVRPYJ OZLXDNWV,-,c,2019-12-17,2019-12,12
6055,V,PW,2,168,0.02,329.28,VLMT,SJVQK,PESXOX MXHMVYBK,-,d,2019-05-17,2019-05,5
6056,A,HL,4,287,0.02,1125.04,XQLX,TBUGD,MYEQTE OGJRYWHN,f,-,2019-07-31,2019-07,7
6057,V,PF,1,206,0.02,201.88,QUWZ,MQMBG,PYVVUO RSTNSDZE,-,-,2019-02-07,2019-02,2
6058,O,GA,7,150,0.04,1008.0,BBYS,YRIPC,NLEQIH MQJWDEOE,f,s,2019-05-21,2019-05,5
6059,L,HG,4,231,0.04,887.04,UONM,ETCSA,QUGHOG JGGJJQMV,-,s,2019-07-22,2019-07,7
6060,T,YL,1,208,0.0,208.0,TRCX,TUEQC,UTRWIF JDOHCDDM,f,c,2019-09-17,2019-09,9
6061,P,AI,3,235,0.02,690.9,JVGM,QEWGK,KXGCFK RAYZRWYZ,m,-,2019-09-17,2019-09,9
6062,C,LJ,5,167,0.03,809.95,PLIP,PJBTK,AINLHC AHDKWDAL,a,s,2019-10-12,2019-10,10
6063,L,BE,9,280,0.0,2520.0,AYDY,DTXNY,STEGJZ TVIHMGLL,-,s,2019-06-15,2019-06,6
6064,M,XD,6,289,0.0,1734.0,ASXE,IMZYY,ZMGKPG NHMWEDLI,-,d,2019-04-26,2019-04,4
6065,E,ZP,3,177,0.01,525.69,ESCR,ZNIWZ,ZYUKGZ BFCXIYMS,f,d,2019-03-04,2019-03,3
6066,R,OS,1,281,0.0,281.0,TOGL,FQUND,BWQQNH KUUWUIDF,-,s,2019-11-28,2019-11,11
6067,P,AM,3,195,0.03,567.45,BFWE,PCDRO,USWZMG KGCGATLM,f,c,2019-11-24,2019-11,11
6068,B,MY,7,182,0.01,1261.26,AQSZ,GSUWZ,VTRXER EIOCCYBF,-,-,2019-06-08,2019-06,6
6069,R,UJ,1,257,0.01,254.43,HMCD,UIFGP,UMSWRK ZJFRAOZC,-,d,2019-11-06,2019-11,11
6070,Q,CT,9,274,0.02,2416.68,MVDO,VDGAR,VLEUFT AIUSWXTQ,-,d,2019-10-31,2019-10,10
6071,O,QN,2,288,0.03,558.72,JJQA,VTPTX,DCLOBI HCPURGRT,-,s,2019-05-16,2019-05,5
6072,V,AO,8,263,0.01,2082.96,TDFY,UVRHQ,HFYZZL CKYVOVHO,f,s,2019-04-12,2019-04,4
6073,D,YX,1,228,0.04,218.88,DODF,VBMIO,FEQRGW ADFQGPLL,m,s,2019-09-28,2019-09,9
6074,K,WU,8,296,0.02,2320.64,GTKC,SSEIF,TGTIBO ELGEDSXG,f,s,2019-09-16,2019-09,9
6075,R,MB,9,230,0.02,2028.6,HHHH,CEZQR,SBWQBY YJSFPFXW,f,d,2019-11-26,2019-11,11
6076,L,OU,2,235,0.01,465.3,QCGQ,TNWUL,HMJYQL IUFTEUKY,-,s,2019-03-20,2019-03,3
6077,C,QZ,2,238,0.03,461.72,ECNB,RELAJ,HXDRTB FRYSHHZJ,a,s,2019-09-02,2019-09,9
6078,X,PL,6,273,0.03,1588.86,UROV,YJMEQ,RIYTAM JCLZKAFS,a,c,2019-01-13,2019-01,1
6079,E,AR,2,256,0.03,496.64,MMZH,RBOTH,IXONIM CEBQWAZL,f,s,2019-05-08,2019-05,5
6080,R,WC,3,153,0.04,440.64,ZRCZ,MVRZA,XVIIKZ MSJWOBUZ,-,c,2019-06-20,2019-06,6
6081,R,GO,5,163,0.03,790.55,RBQL,SGEUS,IZRNJR EPLGZTJZ,f,d,2019-03-16,2019-03,3
6082,G,AD,6,186,0.04,1071.36,VEIW,RRDOZ,DHTNWN CTGIVMSN,f,d,2019-04-07,2019-04,4
6083,J,UF,1,162,0.04,155.52,AFID,MXUPR,BXSOIN DQEOGGDK,f,s,2019-01-20,2019-01,1
6084,E,IF,7,298,0.0,2086.0,OJEQ,UHVGU,WWZRVH NJYPPBYN,a,s,2019-01-30,2019-01,1
6085,I,EA,8,239,0.04,1835.52,BPQR,QJYKA,ZWHJJC OJICXPQV,m,d,2019-12-12,2019-12,12
6086,S,JF,8,289,0.01,2288.88,AGCR,TODQT,BILMGH HJFWLIYY,m,d,2019-04-27,2019-04,4
6087,M,QH,3,169,0.01,501.93,KGJY,UNQLI,MMENGT MTJDTANO,m,s,2019-05-01,2019-05,5
6088,O,NX,2,189,0.02,370.44,UAZN,WEPTT,KMPGMJ LNIYYFNU,f,-,2019-10-09,2019-10,10
6089,Y,AD,4,217,0.02,850.64,XNWN,PQGMM,TKPEAD XZPTWJHB,a,-,2019-09-20,2019-09,9
6090,T,KO,8,299,0.02,2344.16,OIEA,JTTZG,GDIDVZ WAYMPUJS,-,d,2019-01-07,2019-01,1
6091,Z,MC,5,179,0.03,868.15,TJKQ,AVFMT,UIKILN BLQKJNFW,-,c,2019-03-07,2019-03,3
6092,L,CP,3,156,0.0,468.0,DRYL,MVTPN,ORRQST GQYFAHFR,m,-,2019-05-03,2019-05,5
6093,I,BF,2,259,0.01,512.82,WTPP,EKBYI,GBPLKX DZWWCESF,m,-,2019-10-28,2019-10,10
6094,G,GT,1,291,0.04,279.36,LVIJ,ZIPMC,BJREXS RXXLMCSX,m,c,2019-05-23,2019-05,5
6095,P,VM,8,268,0.0,2144.0,GZPP,YJGEB,KZGZDA FRUUZMJB,m,-,2019-02-08,2019-02,2
6096,E,OF,2,192,0.02,376.32,NZPS,YWUAX,QTJCPL BHBUGXQV,a,d,2019-07-29,2019-07,7
6097,J,XJ,8,186,0.0,1488.0,YCQJ,EYIIQ,AXQBDX PBPHKRXU,a,s,2019-12-17,2019-12,12
6098,I,DW,7,289,0.03,1962.31,KUVB,GQGVS,QRTKNQ OHODSZNQ,-,-,2019-12-05,2019-12,12
6099,N,ZT,5,189,0.02,926.1,BTSZ,EJGWH,GWIZSM MMBFJFLI,f,c,2019-02-28,2019-02,2
6100,N,GZ,7,159,0.0,1113.0,BDKW,VRRUP,MRDWDB GNDNYQBX,m,-,2019-02-04,2019-02,2
6101,S,DH,1,198,0.04,190.08,CUDL,UZYZM,SOYMZY PAXCIUKP,a,-,2019-05-12,2019-05,5
6102,X,UX,6,220,0.01,1306.8,OCDE,STHNG,ERKHAN MAWQTZCR,a,d,2019-01-05,2019-01,1
6103,A,NB,6,218,0.02,1281.84,KCTE,GKLFV,VBSVTA BECYFVER,m,s,2019-09-29,2019-09,9
6104,F,SX,4,204,0.0,816.0,SPFO,MYQOD,WOUPRD TWFTAWXO,f,-,2019-03-03,2019-03,3
6105,N,VG,4,226,0.01,894.96,CRAB,QEQKJ,TIXYJI QQHGPWFT,-,d,2019-01-17,2019-01,1
6106,W,FC,7,292,0.02,2003.12,YMIX,NTRAB,PTXCGH LBAVKAMR,a,c,2019-07-14,2019-07,7
6107,D,CC,4,288,0.03,1117.44,BDYP,PXZXF,TTIQBM AFJQAAPG,m,c,2019-03-27,2019-03,3
6108,L,HP,2,155,0.04,297.6,JDVN,UNMDN,FWOQKS ZJKBJRFV,m,s,2019-11-10,2019-11,11
6109,H,RB,9,158,0.04,1365.12,UVCT,SMEDB,GPEJQV GUFMVTXG,f,d,2019-07-11,2019-07,7
6110,J,CL,6,279,0.0,1674.0,DLKB,VCSMQ,TRMUMC GQVVJZBE,a,-,2019-08-30,2019-08,8
6111,A,GM,5,191,0.0,955.0,OTWH,IBKNF,UDBMBG OMVXOWIO,m,c,2019-05-28,2019-05,5
6112,R,VR,7,259,0.03,1758.61,TXVU,KKGGO,TZFEIE SRBHXJXK,m,c,2019-09-11,2019-09,9
6113,G,CT,8,206,0.01,1631.52,PIIF,BLYAU,MBJJTW CURNZUJC,a,s,2019-08-07,2019-08,8
6114,T,AY,7,239,0.0,1673.0,CKNJ,GJOEG,OGYEDR ZAHKVHWM,-,s,2019-05-11,2019-05,5
6115,O,CR,8,171,0.0,1368.0,EEYO,GIINA,MQVDSX MNAEJQXK,m,s,2019-06-09,2019-06,6
6116,E,CP,4,234,0.02,917.28,SCOD,ZFXNP,DAUJHV TJXNJMQN,a,s,2019-09-27,2019-09,9
6117,F,KJ,9,286,0.02,2522.52,YBJY,APHEK,DPMRNB ZIMPOGEP,m,d,2019-03-21,2019-03,3
6118,E,LJ,5,238,0.01,1178.1,QWIB,LMGHV,IFHLZN UJJXEDRO,-,c,2019-08-04,2019-08,8
6119,P,QK,3,155,0.04,446.4,TKQQ,UBRWA,CZZUMU GWFSJADS,m,c,2019-12-08,2019-12,12
6120,Z,UG,6,226,0.03,1315.32,IULZ,FOXKW,CSCVHP EHRBSLLD,a,c,2019-03-05,2019-03,3
6121,D,TS,4,189,0.04,725.76,IWJO,WKNSH,SQSHIV OLTIINVZ,-,c,2019-09-02,2019-09,9
6122,J,EC,3,288,0.01,855.36,IBBT,FHKDK,RDKILT IDZBWTMO,a,c,2019-03-21,2019-03,3
6123,V,AF,3,234,0.02,687.96,DOKT,OKXAJ,GYNQXF YHVQKWYU,f,-,2019-11-12,2019-11,11
6124,H,NW,8,218,0.0,1744.0,NJJY,STRJD,XDZYXR QWKGCEDE,f,s,2019-08-24,2019-08,8
6125,K,LN,7,295,0.03,2003.05,JCVJ,XRWMA,RTUBNU SVZMHBKJ,-,-,2019-12-20,2019-12,12
6126,K,ZS,8,270,0.0,2160.0,BHXC,UKFQC,BCHJMT LVGVUEMU,a,-,2019-01-10,2019-01,1
6127,N,GS,1,230,0.02,225.4,JOJK,VUIDV,VDYCRX YSPXPEHC,a,-,2019-08-18,2019-08,8
6128,Z,FB,6,179,0.02,1052.52,TIRF,UNIGI,UORKMB FZYXNOJW,f,d,2019-10-14,2019-10,10
6129,H,SU,8,195,0.03,1513.2,JHPP,AESEU,KNXOQC SGLYPIAA,m,d,2019-10-15,2019-10,10
6130,D,RB,1,227,0.01,224.73,XLIR,PBMOZ,LTHQLG FKJTZOYL,a,c,2019-06-28,2019-06,6
6131,P,GZ,6,254,0.03,1478.28,UJTN,QSGDV,SCFBHJ HMCXZRZE,m,s,2019-01-18,2019-01,1
6132,H,QZ,2,204,0.03,395.76,XPCB,JUCWK,FSFAEY ZBEPJEQW,a,c,2019-12-28,2019-12,12
6133,O,YR,1,282,0.03,273.54,HHCQ,EQFAC,WWAPLU MRKBVHOY,f,-,2019-07-29,2019-07,7
6134,V,KH,2,169,0.02,331.24,TMUW,LXZQL,CDKTUX WFZNRODC,m,c,2019-07-06,2019-07,7
